play_id,name,missing_or_unaudited_field
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.defence
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.success
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.failure
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.aftermath
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.limits
play-german-axe-and-mace-follow-the-cast,Follow the Cast,historical_identity.historical_confidence
play-german-axe-and-mace-follow-the-cast,Follow the Cast,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.weapon_requirements
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.off_hand_requirement
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.timing.category
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.defence
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.success
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.failure
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.aftermath
play-german-axe-and-mace-follow-the-cast,Follow the Cast,game_implementation.mechanics.limits
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,historical_identity.historical_confidence
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.weapon_requirements
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.off_hand_requirement
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.timing.category
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.defence
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.success
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.failure
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.aftermath
play-german-axe-and-mace-haft-and-arm-throw,Haft-and-Arm Throw,game_implementation.mechanics.limits
play-german-axe-and-mace-hook-and-tear,Hook and Tear,historical_identity.historical_confidence
play-german-axe-and-mace-hook-and-tear,Hook and Tear,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.weapon_requirements
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.off_hand_requirement
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.timing.category
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.defence
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.success
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.failure
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.aftermath
play-german-axe-and-mace-hook-and-tear,Hook and Tear,game_implementation.mechanics.limits
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,historical_identity.historical_confidence
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.weapon_requirements
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.off_hand_requirement
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.timing.category
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.defence
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.success
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.failure
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.aftermath
play-german-axe-and-mace-overhand-death-blow,Overhand Death Blow,game_implementation.mechanics.limits
play-german-axe-and-mace-shield-separation,Shield Separation,historical_identity.historical_confidence
play-german-axe-and-mace-shield-separation,Shield Separation,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.weapon_requirements
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.off_hand_requirement
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.timing.category
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.defence
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.success
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.failure
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.aftermath
play-german-axe-and-mace-shield-separation,Shield Separation,game_implementation.mechanics.limits
play-german-axe-and-mace-strike-the-hands,Strike the Hands,historical_identity.historical_confidence
play-german-axe-and-mace-strike-the-hands,Strike the Hands,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.weapon_requirements
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.off_hand_requirement
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.timing.category
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.defence
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.success
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.failure
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.aftermath
play-german-axe-and-mace-strike-the-hands,Strike the Hands,game_implementation.mechanics.limits
play-german-dagger-arm-break,Arm Break,historical_identity.historical_confidence
play-german-dagger-arm-break,Arm Break,historical_identity.source_citations.exact_historical_location
play-german-dagger-arm-break,Arm Break,game_implementation.character_sheet_test_skill
play-german-dagger-arm-break,Arm Break,game_implementation.secondary_skill_prerequisites
play-german-dagger-arm-break,Arm Break,game_implementation.weapon_requirements
play-german-dagger-arm-break,Arm Break,game_implementation.off_hand_requirement
play-german-dagger-arm-break,Arm Break,game_implementation.timing.category
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.learn_requirements
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.use_conditions
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.action_relationship
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.spiritus_cost
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.test_resolution
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.defence
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.success
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.failure
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.aftermath
play-german-dagger-arm-break,Arm Break,game_implementation.mechanics.limits
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,historical_identity.historical_confidence
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,historical_identity.source_citations.exact_historical_location
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.character_sheet_test_skill
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.secondary_skill_prerequisites
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.weapon_requirements
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.off_hand_requirement
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.timing.category
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.learn_requirements
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.use_conditions
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.action_relationship
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.spiritus_cost
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.test_resolution
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.defence
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.success
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.failure
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.aftermath
play-german-dagger-dagger-wrap-throw,Dagger-Wrap Throw,game_implementation.mechanics.limits
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,historical_identity.historical_confidence
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,historical_identity.source_citations.exact_historical_location
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.character_sheet_test_skill
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.secondary_skill_prerequisites
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.weapon_requirements
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.off_hand_requirement
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.timing.category
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.learn_requirements
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.use_conditions
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.action_relationship
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.spiritus_cost
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.test_resolution
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.defence
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.success
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.failure
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.aftermath
play-german-dagger-free-stab-from-the-roof,Free Stab from the Roof,game_implementation.mechanics.limits
play-german-dagger-lower-shield,Lower Shield,historical_identity.historical_confidence
play-german-dagger-lower-shield,Lower Shield,historical_identity.source_citations.exact_historical_location
play-german-dagger-lower-shield,Lower Shield,game_implementation.character_sheet_test_skill
play-german-dagger-lower-shield,Lower Shield,game_implementation.secondary_skill_prerequisites
play-german-dagger-lower-shield,Lower Shield,game_implementation.weapon_requirements
play-german-dagger-lower-shield,Lower Shield,game_implementation.off_hand_requirement
play-german-dagger-lower-shield,Lower Shield,game_implementation.timing.category
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.learn_requirements
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.use_conditions
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.action_relationship
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.spiritus_cost
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.test_resolution
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.defence
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.success
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.failure
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.aftermath
play-german-dagger-lower-shield,Lower Shield,game_implementation.mechanics.limits
play-german-dagger-reversed-throw,Reversed Throw,historical_identity.historical_confidence
play-german-dagger-reversed-throw,Reversed Throw,historical_identity.source_citations.exact_historical_location
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.character_sheet_test_skill
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.secondary_skill_prerequisites
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.weapon_requirements
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.off_hand_requirement
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.timing.category
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.learn_requirements
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.use_conditions
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.action_relationship
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.spiritus_cost
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.test_resolution
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.defence
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.success
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.failure
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.aftermath
play-german-dagger-reversed-throw,Reversed Throw,game_implementation.mechanics.limits
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,historical_identity.historical_confidence
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,historical_identity.source_citations.exact_historical_location
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.character_sheet_test_skill
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.secondary_skill_prerequisites
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.weapon_requirements
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.off_hand_requirement
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.timing.category
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.learn_requirements
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.use_conditions
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.action_relationship
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.spiritus_cost
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.test_resolution
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.defence
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.success
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.failure
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.aftermath
play-german-dagger-take-dagger-with-dagger,Take Dagger with Dagger,game_implementation.mechanics.limits
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,historical_identity.historical_confidence
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,historical_identity.source_citations.exact_historical_location
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.character_sheet_test_skill
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.secondary_skill_prerequisites
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.weapon_requirements
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.off_hand_requirement
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.timing.category
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.learn_requirements
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.use_conditions
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.action_relationship
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.spiritus_cost
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.test_resolution
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.defence
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.success
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.failure
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.aftermath
play-german-dagger-throw-dagger-and-rush,Throw Dagger and Rush,game_implementation.mechanics.limits
play-german-dagger-upper-shield,Upper Shield,historical_identity.historical_confidence
play-german-dagger-upper-shield,Upper Shield,historical_identity.source_citations.exact_historical_location
play-german-dagger-upper-shield,Upper Shield,game_implementation.character_sheet_test_skill
play-german-dagger-upper-shield,Upper Shield,game_implementation.secondary_skill_prerequisites
play-german-dagger-upper-shield,Upper Shield,game_implementation.weapon_requirements
play-german-dagger-upper-shield,Upper Shield,game_implementation.off_hand_requirement
play-german-dagger-upper-shield,Upper Shield,game_implementation.timing.category
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.learn_requirements
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.use_conditions
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.action_relationship
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.spiritus_cost
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.test_resolution
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.defence
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.success
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.failure
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.aftermath
play-german-dagger-upper-shield,Upper Shield,game_implementation.mechanics.limits
play-german-longsword-absetzen,Absetzen,game_implementation.character_sheet_test_skill
play-german-longsword-absetzen,Absetzen,game_implementation.secondary_skill_prerequisites
play-german-longsword-absetzen,Absetzen,game_implementation.weapon_requirements
play-german-longsword-absetzen,Absetzen,game_implementation.off_hand_requirement
play-german-longsword-absetzen,Absetzen,game_implementation.timing.category
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.learn_requirements
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.use_conditions
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.action_relationship
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.spiritus_cost
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.test_resolution
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.defence
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.success
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.failure
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.aftermath
play-german-longsword-absetzen,Absetzen,game_implementation.mechanics.limits
play-german-longsword-duplieren-mutieren,Duplieren / Mutieren,historical_identity.historical_confidence
play-german-longsword-duplieren-mutieren,Duplieren / Mutieren,historical_identity.source_citations.exact_historical_location
play-german-longsword-duplieren-mutieren,Duplieren / Mutieren,game_implementation.secondary_skill_prerequisites
play-german-longsword-duplieren-mutieren,Duplieren / Mutieren,game_implementation.timing.category
play-german-longsword-durchlaufen,Durchlaufen,historical_identity.historical_confidence
play-german-longsword-durchlaufen,Durchlaufen,historical_identity.source_citations.exact_historical_location
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.character_sheet_test_skill
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.secondary_skill_prerequisites
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.weapon_requirements
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.off_hand_requirement
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.timing.category
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.learn_requirements
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.use_conditions
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.action_relationship
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.spiritus_cost
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.test_resolution
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.defence
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.success
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.failure
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.aftermath
play-german-longsword-durchlaufen,Durchlaufen,game_implementation.mechanics.limits
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.character_sheet_test_skill
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.secondary_skill_prerequisites
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.weapon_requirements
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.off_hand_requirement
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.timing.category
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.learn_requirements
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.use_conditions
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.action_relationship
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.spiritus_cost
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.test_resolution
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.defence
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.success
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.failure
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.aftermath
play-german-longsword-durchwechseln,Durchwechseln,game_implementation.mechanics.limits
play-german-longsword-kron-crown-crossing,Kron / Crown Crossing,game_implementation.character_sheet_test_skill
play-german-longsword-kron-crown-crossing,Kron / Crown Crossing,game_implementation.secondary_skill_prerequisites
play-german-longsword-kron-crown-crossing,Kron / Crown Crossing,game_implementation.weapon_requirements
play-german-longsword-kron-crown-crossing,Kron / Crown Crossing,game_implementation.off_hand_requirement
